action,projectSlug,unitNo,layoutCode,towerNumber,phaseName,floor,stack,displaySequence,builtUpSqft,landAreaSqft,dimensionText,facing,positionType,carparkCount,carparkLotNo,carparkType,lotTypeCode,bookingStatusCode,basePrice,finalPrice
create,m-grand-minori-pelangi,A-13-01,TYPE_B,TOWER-A,,13,01,1,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-02,TYPE_B,TOWER-A,,13,02,2,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-03,TYPE_D1,TOWER-A,,13,03,3,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-05,TYPE_E,TOWER-A,,13,05,4,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-06,TYPE_B,TOWER-A,,13,06,5,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-07,TYPE_B,TOWER-A,,13,07,6,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-08,TYPE_C,TOWER-A,,13,08,7,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-09,TYPE_D1,TOWER-A,,13,09,8,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-10,TYPE_E,TOWER-A,,13,10,9,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-11,TYPE_A,TOWER-A,,13,11,10,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-12,TYPE_C,TOWER-A,,13,12,11,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-13,TYPE_C,TOWER-A,,13,13,12,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-15,TYPE_C,TOWER-A,,13,15,13,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-16,TYPE_C,TOWER-A,,13,16,14,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-17,TYPE_E,TOWER-A,,13,17,15,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-18,TYPE_E,TOWER-A,,13,18,16,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-19,TYPE_D,TOWER-A,,13,19,17,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-13-20,TYPE_D,TOWER-A,,13,20,18,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-01,TYPE_B,TOWER-A,,14,01,19,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-02,TYPE_B,TOWER-A,,14,02,20,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-03,TYPE_D1,TOWER-A,,14,03,21,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-05,TYPE_E,TOWER-A,,14,05,22,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-06,TYPE_B,TOWER-A,,14,06,23,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-07,TYPE_B,TOWER-A,,14,07,24,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-08,TYPE_C,TOWER-A,,14,08,25,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-09,TYPE_D1,TOWER-A,,14,09,26,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-10,TYPE_E,TOWER-A,,14,10,27,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-11,TYPE_A,TOWER-A,,14,11,28,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-12,TYPE_C,TOWER-A,,14,12,29,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-13,TYPE_C,TOWER-A,,14,13,30,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-15,TYPE_C,TOWER-A,,14,15,31,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-16,TYPE_C,TOWER-A,,14,16,32,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-17,TYPE_E,TOWER-A,,14,17,33,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-18,TYPE_E,TOWER-A,,14,18,34,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-19,TYPE_D,TOWER-A,,14,19,35,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-14-20,TYPE_D,TOWER-A,,14,20,36,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-01,TYPE_B,TOWER-A,,15,01,37,496.00,,,,,,,,,,,
