action,projectSlug,towerNumber,stackNo,layoutCode,builtUpSqft,facingGroupKey,sortOrder
create,paragon-signature-suites,TOWER-1,01,TYPE_A,646.00,,1
create,paragon-signature-suites,TOWER-1,02,TYPE_A,646.00,,2
create,paragon-signature-suites,TOWER-1,03,TYPE_A,646.00,,3
create,paragon-signature-suites,TOWER-1,05,TYPE_A,646.00,,4
create,paragon-signature-suites,TOWER-1,06,TYPE_B,649.00,,5
create,paragon-signature-suites,TOWER-1,07,TYPE_B,649.00,,6
create,paragon-signature-suites,TOWER-1,08,TYPE_A,646.00,,7
create,paragon-signature-suites,TOWER-1,09,TYPE_A,646.00,,8
create,paragon-signature-suites,TOWER-1,10,TYPE_A,646.00,,9
create,paragon-signature-suites,TOWER-1,11,TYPE_A,646.00,,10
create,paragon-signature-suites,TOWER-1,12,TYPE_A,646.00,,11
create,paragon-signature-suites,TOWER-1,13,TYPE_A,646.00,,12
create,paragon-signature-suites,TOWER-1,15,TYPE_A,646.00,,13
create,paragon-signature-suites,TOWER-1,16,TYPE_A,646.00,,14
create,paragon-signature-suites,TOWER-1,17,TYPE_A,646.00,,15
create,paragon-signature-suites,TOWER-1,18,TYPE_A,646.00,,16
create,paragon-signature-suites,TOWER-1,19,TYPE_B,649.00,,17
create,paragon-signature-suites,TOWER-1,20,TYPE_B,649.00,,18
create,paragon-signature-suites,TOWER-1,21,TYPE_A,646.00,,19
create,paragon-signature-suites,TOWER-1,22,TYPE_A,646.00,,20
create,paragon-signature-suites,TOWER-1,23,TYPE_A,646.00,,21
create,paragon-signature-suites,TOWER-1,25,TYPE_A,646.00,,22
