action,projectSlug,towerNumber,stackNo,layoutCode,builtUpSqft,facingGroupKey,sortOrder
create,m-grand-minori,TOWER-A,01,TYPE_B,496.00,NE,1
create,m-grand-minori,TOWER-A,02,TYPE_B,496.00,NE,2
create,m-grand-minori,TOWER-A,03,TYPE_D1,630.00,NE,3
create,m-grand-minori,TOWER-A,05,TYPE_E,835.00,SW,4
create,m-grand-minori,TOWER-A,06,TYPE_B,496.00,SW,5
create,m-grand-minori,TOWER-A,07,TYPE_B,496.00,SW,6
create,m-grand-minori,TOWER-A,08,TYPE_C,624.00,SW,7
create,m-grand-minori,TOWER-A,09,TYPE_D1,630.00,SW,8
create,m-grand-minori,TOWER-A,10,TYPE_E,835.00,NW,9
create,m-grand-minori,TOWER-A,11,TYPE_A,403.00,NW,10
create,m-grand-minori,TOWER-A,12,TYPE_C,624.00,NW,11
create,m-grand-minori,TOWER-A,13,TYPE_C,624.00,NW,12
create,m-grand-minori,TOWER-A,15,TYPE_C,624.00,NW,13
create,m-grand-minori,TOWER-A,16,TYPE_C,624.00,NW,14
create,m-grand-minori,TOWER-A,17,TYPE_E,835.00,NW,15
create,m-grand-minori,TOWER-A,18,TYPE_E,835.00,SE,16
create,m-grand-minori,TOWER-A,19,TYPE_D,630.00,SE,17
create,m-grand-minori,TOWER-A,20,TYPE_D,630.00,SE,18
