action,projectSlug,unitNo,layoutCode,towerNumber,phaseName,floor,stack,displaySequence,builtUpSqft,landAreaSqft,dimensionText,facing,positionType,carparkCount,carparkLotNo,carparkType,lotTypeCode,bookingStatusCode,basePrice,finalPrice
create,paragon-signature-suite,A-11-01,TYPE_A,TOWER-1,,11,01,1,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-02,TYPE_A,TOWER-1,,11,02,2,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-03,TYPE_A,TOWER-1,,11,03,3,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-05,TYPE_A,TOWER-1,,11,05,4,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-06,TYPE_B,TOWER-1,,11,06,5,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-07,TYPE_B,TOWER-1,,11,07,6,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-08,TYPE_A,TOWER-1,,11,08,7,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-09,TYPE_A,TOWER-1,,11,09,8,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-10,TYPE_A,TOWER-1,,11,10,9,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-11,TYPE_A,TOWER-1,,11,11,10,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-12,TYPE_A,TOWER-1,,11,12,11,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-13,TYPE_A,TOWER-1,,11,13,12,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-15,TYPE_A,TOWER-1,,11,15,13,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-16,TYPE_A,TOWER-1,,11,16,14,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-17,TYPE_A,TOWER-1,,11,17,15,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-18,TYPE_A,TOWER-1,,11,18,16,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-19,TYPE_B,TOWER-1,,11,19,17,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-20,TYPE_B,TOWER-1,,11,20,18,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-21,TYPE_A,TOWER-1,,11,21,19,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-22,TYPE_A,TOWER-1,,11,22,20,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-23,TYPE_A,TOWER-1,,11,23,21,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-11-25,TYPE_A,TOWER-1,,11,25,22,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-01,TYPE_A,TOWER-1,,12,01,23,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-02,TYPE_A,TOWER-1,,12,02,24,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-03,TYPE_A,TOWER-1,,12,03,25,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-05,TYPE_A,TOWER-1,,12,05,26,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-06,TYPE_B,TOWER-1,,12,06,27,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-07,TYPE_B,TOWER-1,,12,07,28,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-08,TYPE_A,TOWER-1,,12,08,29,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-09,TYPE_A,TOWER-1,,12,09,30,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-10,TYPE_A,TOWER-1,,12,10,31,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-11,TYPE_A,TOWER-1,,12,11,32,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-12,TYPE_A,TOWER-1,,12,12,33,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-13,TYPE_A,TOWER-1,,12,13,34,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-15,TYPE_A,TOWER-1,,12,15,35,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-16,TYPE_A,TOWER-1,,12,16,36,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-17,TYPE_A,TOWER-1,,12,17,37,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-18,TYPE_A,TOWER-1,,12,18,38,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-19,TYPE_B,TOWER-1,,12,19,39,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-20,TYPE_B,TOWER-1,,12,20,40,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-21,TYPE_A,TOWER-1,,12,21,41,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-22,TYPE_A,TOWER-1,,12,22,42,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-23,TYPE_A,TOWER-1,,12,23,43,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-12-25,TYPE_A,TOWER-1,,12,25,44,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-01,TYPE_A,TOWER-1,,13,01,45,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-02,TYPE_A,TOWER-1,,13,02,46,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-03,TYPE_A,TOWER-1,,13,03,47,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-05,TYPE_A,TOWER-1,,13,05,48,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-06,TYPE_B,TOWER-1,,13,06,49,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-07,TYPE_B,TOWER-1,,13,07,50,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-08,TYPE_A,TOWER-1,,13,08,51,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-09,TYPE_A,TOWER-1,,13,09,52,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-10,TYPE_A,TOWER-1,,13,10,53,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-11,TYPE_A,TOWER-1,,13,11,54,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-12,TYPE_A,TOWER-1,,13,12,55,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-13,TYPE_A,TOWER-1,,13,13,56,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-15,TYPE_A,TOWER-1,,13,15,57,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-16,TYPE_A,TOWER-1,,13,16,58,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-17,TYPE_A,TOWER-1,,13,17,59,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-18,TYPE_A,TOWER-1,,13,18,60,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-19,TYPE_B,TOWER-1,,13,19,61,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-20,TYPE_B,TOWER-1,,13,20,62,649.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-21,TYPE_A,TOWER-1,,13,21,63,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-22,TYPE_A,TOWER-1,,13,22,64,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-23,TYPE_A,TOWER-1,,13,23,65,646.00,,,,,,,,,,,
create,paragon-signature-suite,A-13-25,TYPE_A,TOWER-1,,13,25,66,646.00,,,,,,,,,,,
